"Country","Year","Male_Life_Expectancy","female_Life_Expectancy","GDP","Marriage_rate","Same_sex_marriage","Births_outside_marriage","Divorce_rate","Estimated_average_age_at_marriage_women","births_per_woman","average_years_of_schooling_of_women_in_reproductive_age","Population_est"
"Norway",1990,73.573,79.954,18453.209654,5200,"not legal",38.6,2.4000001,26.4,1.853,10.96601,4247286
"Norway",1995,74.863,80.702,24348.844805,5000,"not legal",47.6,2.4000001,27.5,1.884,11.52153,4366996
"Norway",2000,76.095,81.443,36936.216144,5000,"not legal",49.6,2.2,28.4,1.824,11.77162,4499375
"Norway",2010,78.981,83.263,57922.634469,4800,"legal",54.8,2.0999999,30.799999,1.89,11.51435,4885878
"Poland",1995,67.455,76.29,7745.418211,5400,"not legal",9.5,1,23.299999,1.733,10.80575,38458642
"Poland",2000,69.451,77.945,10672.856292,5500,"not legal",12.1,1.1,24.1,1.346,11.19825,38556699
"Poland",2005,70.849,79.311,13898.413011,5400,"not legal",18.5,1.8,25.299999,1.299,11.86333,38368957
"Poland",2010,72.146,80.465,20813.092736,6000,"not legal",20.6,1.6,26.1,1.355,12.08951,38329784
"Portugal",1995,71.724,79.049,14398.876224,6600,"not legal",18.6,1.2,24.5,1.456,8.618181,10091322
"Portugal",2000,73.178,80.279,18876.663002,6200,"not legal",22.2,1.9,25.200001,1.457,9.722379,10297117
"Portugal",2005,75.06,81.767,22725.351606,4600,"not legal",30.7,2.2,26.299999,1.418,9.249411,10508494
"Portugal",2010,76.753,83.121,27261.94794,3800,"legal",41.3,2.5999999,27.700001,1.321,9.769664,10596055
"Romania",1995,65.895,73.38,5427.022286,6800,"not legal",19.7,1.5,23.1,1.356,10.90898,22964747
"Romania",2000,66.846,74.294,5850.142412,6100,"not legal",25.5,1.4,23.700001,1.273,11.00754,22137423
"Romania",2005,68.692,75.958,9602.147673,6700,"not legal",28.5,1.6,25.1,1.4,11.05624,21417287
"Romania",2010,70.558,77.625,16976.354555,5700,"not legal",27.7,1.6,25.6,1.518,11.16327,20471860
"Slovenia",1995,70.477,78.303,13628.58473,4100,"not legal",29.8,0.80000001,25.299999,1.269,11.40135,1991126
"Slovenia",2000,71.979,79.714,17996.968428,3600,"not legal",37.1,1.1,27,1.206,11.63189,1987710
"Slovenia",2005,73.837,81.213,23848.602419,2900,"not legal",46.7,1.3,28.700001,1.31,12.02912,1994979
"Slovenia",2010,76.109,82.62,27823.655096,3200,"some rights",55.7,1.2,29,1.519,12.19449,2043336
"Spain",1990,73.679,80.723,13513.174189,5700,"not legal",9.6,0.60000002,25.6,1.343,7.957943,39202524
"Spain",1995,74.562,81.786,16281.211493,5100,"not legal",11.1,0.80000001,27.1,1.212,9.251032,39787413
"Spain",2000,75.86,82.795,21591.430573,5400,"not legal",17.7,0.89999998,28.1,1.212,10.26253,40824745
"Spain",2005,77.275,83.816,27600.937175,4700,"legal",26.5,1.7,29.4,1.381,11.06696,44019118
"Spain",2010,78.888,84.861,31692.507932,3600,"legal",35.5,2.2,30.9,1.402,11.26946,46931011
"Sweden",1990,74.822,80.484,20413.953629,4700,"not legal",47,2.3,27.700001,2.009,11.56815,8567375
"Sweden",2000,77.339,82.05,29618.30891,4500,"not legal",55.3,2.4000001,30.4,1.566,12.00516,8881642
"Sweden",2005,78.441,82.68,34244.359285,4900,"not legal",55.4,2.2,31.700001,1.786,12.01342,9038627
"Sweden",2010,79.551,83.425,42224.035942,5300,"legal",54.2,2.5,32.700001,1.917,12.08298,9390157
"Switzerland",1990,74.11,80.923,28132.04439,6900,"not legal",6.1,2,27,1.548,9.942136,6652873
"Switzerland",1995,75.242,81.689,30594.678443,5800,"not legal",6.8,2.2,27.5,1.516,9.58447,6995519
"Switzerland",2000,76.922,82.613,36426.125454,5500,"not legal",10.7,1.5,28.200001,1.437,9.410982,7143764
"Switzerland",2005,78.535,83.605,41467.497321,5400,"not legal",13.7,2.9000001,29.1,1.429,10.42786,7386818
"Switzerland",2010,79.932,84.447,54767.96782,5500,"some rights",18.6,2.8,29.799999,1.501,12.65844,7808674
"Turkey",2010,71.199,77.84,17346.72046,8000,"not legal",2.6,1.6,23.799999,2.151,7.127374,72326992
"United Kingdom",1990,72.849,78.428,17087.466414,6600,"not legal",27.9,2.7,25.200001,1.813,9.564902,57134377
"United Kingdom",1995,74.022,79.26,20615.301291,5600,"not legal",33.5,2.9000001,26.799999,1.756,9.88399,57932450
"United Kingdom",2000,75.309,80.107,26475.125389,5200,"not legal",39.5,2.5999999,28.200001,1.677,10.40127,58923305
"United Kingdom",2005,76.807,81.199,32740.960237,4699.999809,"not legal",42.9,2.5999999,29.5,1.752,12.01125,60287953
"United Kingdom",2010,78.313,82.311,36580.295495,4500,"not legal",46.9,2.0999999,30,1.887,12.77681,63459801
"United States",1990,71.744,78.719,23835.319229,9800,"not legal",28,4.6999998,23.9,1.983,12.73941,252120309
"United States",1995,72.874,79.189,28657.512716,8900,"not legal",32.2,4.4000001,24.5,2.019,12.85856,265163740
"United States",2000,74.054,79.49,36299.662179,8300.000191,"not legal",33.2,4.0999999,25.1,2.017,13.14724,281710914
"United States",2005,75.115,80.183,44052.382996,7599.999905,"not legal",36.9,3.5999999,25.299999,2.065,13.06849,294993509
"United States",2010,76.191,81.056,48580.481254,6800.000191,"not legal",40.8,3.5999999,26.1,1.973,13.31037,309011469
